test,nodes,edges,terminals,gpu_results,cpu_results,speed_up
lin07,307,526,6,0.066,0.123,1.8635055294652325
lin08,311,530,10,0.071,1.143,16.09646528657936
lin09,313,532,12,0.149,4.972,33.3669552379035
lin10,321,540,20,over 30s,over 30s,a lot
lin11,816,1460,10,0.5,7.388,14.77572448551029
lin12,818,1462,12,0.664,29.772,44.836689206487854
lin13,822,1466,16,7.569,over 30s,a lot
msm0580,338,541,11,0.099,2.732,27.593273406726595
msm0654,1290,2270,10,1.136,18.404,16.20057041751393
msm0709,1442,2403,16,18.787,over 30s,a lot
msm1008,402,695,11,0.147,3.925,26.698932045439086
msm1234,933,1632,13,1.983,over 30s,a lot
msm1707,278,478,11,0.071,1.907,26.855513307984797
msm1844,90,135,10,0.009,0.127,14.096559378468372
msm1931,875,1522,10,0.53,8.472,15.984622931642798
msm2000,898,1562,10,0.599,8.964,14.964708435585385
msm2326,418,723,14,0.797,over 30s,a lot
msm2705,1359,2458,13,3.278,over 30s,a lot
msm3676,957,1554,10,0.671,10.196,15.195019448294362
msm4038,237,390,11,0.064,1.444,22.55913138572098
msm4114,402,690,16,5.08,over 30s,a lot
msm4190,391,666,16,5.745,over 30s,a lot
msm4224,191,302,11,0.045,0.965,21.439902243945788
msm4414,317,476,11,0.098,2.443,24.926129986736047
msm4515,777,1358,13,1.137,over 30s,a lot
p455,100,4950,5,0.034,0.04,1.1764187003822404
p456,100,4950,5,0.034,0.04,1.1764187003822404
p457,100,4950,10,0.037,0.174,4.701702242637125
p458,100,4950,10,0.036,0.175,4.860038878089419
p459,100,4950,20,over 30s,over 30s,a lot
p460,100,4950,20,over 30s,over 30s,a lot
p463,200,19900,10,0.254,0.718,2.826699736230857
p464,200,19900,20,over 30s,over 30s,a lot
p401,100,4950,5,0.056,0.064,1.1428316372076415
p402,100,4950,5,0.056,0.064,1.1428316372076415
p403,100,4950,5,0.056,0.06,1.0714158186038207
p404,100,4950,10,0.059,0.192,3.253855278766311
p405,100,4950,10,0.058,0.192,3.309946560937769
p406,100,4950,10,0.058,0.195,3.3616617824513013
p407,100,4950,20,over 30s,over 30s,a lot
p408,100,4950,20,over 30s,over 30s,a lot
p619,100,180,5,0.008,0.015,1.873907615480649
p620,100,180,5,0.006,0.013,2.1647254575707153
p621,100,180,5,0.006,0.015,2.497504159733777
p622,100,180,10,0.01,0.15,14.986013986013987
p623,100,180,10,0.009,0.152,16.871254162042177
p624,100,180,20,over 30s,over 30s,a lot
p625,100,180,20,over 30s,over 30s,a lot
p626,100,180,20,over 30s,over 30s,a lot
p630,200,370,10,0.031,0.511,16.47887778136085
p631,200,370,20,over 30s,over 30s,a lot
p601,100,180,0,0,0,1.0
p602,100,180,5,0.007,0.019,2.7118402282453635
p603,100,180,5,0.008,0.019,2.3732833957553057
p604,100,180,10,0.01,0.151,15.085914085914087
p605,100,180,10,0.01,0.158,15.785214785214787
p606,100,180,10,0.01,0.152,15.185814185814186
p607,100,180,20,over 30s,over 30s,a lot
p608,100,180,20,over 30s,over 30s,a lot
p609,100,180,20,over 30s,over 30s,a lot
p613,200,370,10,0.035,0.513,14.653241930876888
p614,200,370,20,over 30s,over 30s,a lot
cc3-4p,64,288,8,0.004,0.024,5.987531172069826
cc3-4u,64,288,8,0.004,0.023,5.738154613466334
cc3-5p,125,750,13,0.139,2.478,17.82612761671822
cc3-5u,125,750,13,0.12,2.47,20.58170152487293
cc6-2p,64,192,12,0.021,0.377,17.94431223227035
cc6-2u,64,192,12,0.02,0.375,18.74112943528236
antiwheel5,10,15,5,0,0,1.0
design432,8,20,4,0,0,1.0
oddcycle3,6,9,3,0,0,1.0
oddwheel3,7,9,4,0,0,1.0
se03,13,21,4,0.001,0,0.009900990099009901
taq0023,572,963,11,0.248,7.354,29.65207048102899
taq0431,1128,1905,13,1.531,over 30s,a lot
taq0631,609,932,10,0.247,4.149,16.796931298328
taq0739,837,1438,16,10.142,over 30s,a lot
taq0741,712,1217,16,5.27,over 30s,a lot
taq0751,1051,1791,16,13.568,over 30s,a lot
taq0891,331,560,10,0.072,1.304,18.108734897930848
taq0910,310,514,17,9.628,over 30s,a lot
taq0920,122,194,17,6.818,over 30s,a lot
taq0978,777,1239,10,0.404,6.709,16.606049355213976
