test,nodes,edges,terminals,cpu_results,gpu_results,wata-orz_results,wata-orz_results_with_preprocessing
i640-034,640,1280,9,6.952,0.318,0.027,0.029
i640-035,640,1280,9,6.902,0.298,0.021,0.026
i640-041,640,40896,9,6.954,0.467,0.134,0.173
i640-042,640,40896,9,7.152,0.483,0.138,0.160
i640-043,640,40896,9,6.897,0.534,0.146,0.167
i640-044,640,40896,9,6.904,0.437,0.144,0.177
i640-045,640,40896,9,6.877,0.473,0.147,0.166
lin01,53,80,4,0.01,0.253,0.000,0.001
lin02,55,82,6,0.005,0.205,0.000,0.000
lin03,57,84,8,0.022,0.256,0.001,0.001
lin04,157,266,6,0.093,0.28,0.000,0.002
lin05,160,269,9,0.233,0.234,0.002,0.007
lin06,165,274,14,9.294,0.641,0.004,0.004
lin07,307,526,6,0.592,0.245,0.002,0.007
lin08,311,530,10,1.638,0.232,0.002,0.007
lin09,313,532,12,5.491,0.398,0.005,0.015
lin10,321,540,20,over 30s,over 30s,0.049,0.014
lin11,816,1460,10,16.844,0.315,0.012,0.043
lin12,818,1462,12,over 30s,0.567,0.020,0.051
lin13,822,1466,16,over 30s,7.307,0.026,0.029
msm0580,338,541,11,3.497,0.198,0.008,0.013
msm0654,1290,2270,10,over 30s,0.363,0.014,0.022
msm0709,1442,2403,16,over 30s,13.736,0.014,0.031
msm1008,402,695,11,5.009,0.324,0.014,0.006
msm1234,933,1632,13,over 30s,1.293,0.007,0.017
msm1707,278,478,11,2.393,0.218,0.002,0.004
msm1844,90,135,10,0.132,0.243,0.002,0.001
msm1931,875,1522,10,20.723,0.305,0.007,0.016
msm2000,898,1562,10,21.938,0.355,0.007,0.017
msm2326,418,723,14,over 30s,0.705,0.005,0.008
msm2705,1359,2458,13,over 30s,1.862,0.020,0.023
msm3676,957,1554,10,25.987,0.4,0.008,0.017
msm4038,237,390,11,1.72,0.257,0.004,0.004
msm4114,402,690,16,over 30s,3.91,0.004,0.008
msm4190,391,666,16,over 30s,4.5,0.009,0.006
msm4224,191,302,11,1.105,0.243,0.004,0.004
msm4414,317,476,11,3.049,0.281,0.004,0.003
msm4515,777,1358,13,over 30s,0.845,0.019,0.013
p455,100,4950,5,0.025,0.252,0.001,0.010
p456,100,4950,5,0.024,0.228,0.001,0.011
p457,100,4950,10,0.16,0.208,0.003,0.008
p458,100,4950,10,0.168,0.227,0.008,0.015
p459,100,4950,20,over 30s,over 30s,0.017,0.010
p460,100,4950,20,over 30s,over 30s,0.018,0.012
p463,200,19900,10,0.62,0.273,0.004,0.028
p464,200,19900,20,over 30s,over 30s,0.027,0.033
p401,100,4950,5,0.026,0.224,0.000,0.008
p402,100,4950,5,0.027,0.263,0.001,0.012
p403,100,4950,5,0.026,0.242,0.002,0.006
p404,100,4950,10,0.159,0.269,0.005,0.008
p405,100,4950,10,0.16,0.294,0.009,0.010
p406,100,4950,10,0.162,0.218,0.006,0.011
p407,100,4950,20,over 30s,over 30s,0.536,0.022
p408,100,4950,20,over 30s,over 30s,0.192,0.012
p619,100,180,5,0.03,0.222,0.000,0.001
p620,100,180,5,0.028,0.21,0.000,0.001
p621,100,180,5,0.029,0.301,0.000,0.001
p622,100,180,10,0.166,0.231,0.001,0.002
p623,100,180,10,0.164,0.185,0.004,0.003
p624,100,180,20,over 30s,over 30s,0.006,0.002
p625,100,180,20,over 30s,over 30s,0.006,0.004
p626,100,180,20,over 30s,over 30s,0.011,0.002
p630,200,370,10,0.669,0.217,0.002,0.002
p631,200,370,20,over 30s,over 30s,0.015,0.009
p601,100,180,0,0,0,0.000,over 30s
p602,100,180,5,0.03,0.201,0.000,0.002
p603,100,180,5,0.027,0.252,0.000,0.003
p604,100,180,10,0.162,0.309,0.001,0.003
p605,100,180,10,0.163,0.281,0.002,0.003
p606,100,180,10,0.165,0.244,0.002,0.001
p607,100,180,20,over 30s,over 30s,0.003,0.001
p608,100,180,20,over 30s,over 30s,0.010,0.001
p609,100,180,20,over 30s,over 30s,0.003,0.004
p613,200,370,10,0.625,0.231,0.003,0.010
p614,200,370,20,over 30s,over 30s,0.033,0.013
cc3-4p,64,288,8,0.023,0.181,0.008,0.006
cc3-4u,64,288,8,0.026,0.251,0.014,0.010
cc3-5p,125,750,13,2.574,0.383,0.881,0.841
cc3-5u,125,750,13,2.519,0.361,0.827,0.801
cc6-2p,64,192,12,0.383,0.269,0.156,0.128
cc6-2u,64,192,12,0.382,0.259,0.145,0.132
antiwheel5,10,15,5,0,0.208,0.000,0.000
design432,8,20,4,0,0.219,0.000,0.000
oddcycle3,6,9,3,0,0.23,0.000,0.000
