test,n,m,t,DW CPU,DW GPU,DW GPU P,Pruning,Pruning P
i640-021,640,204480,9,9.448,0.433,0.44,0.282,0.901
i640-022,640,204480,9,9.435,0.442,0.444,0.278,0.682
i640-023,640,204480,9,9.449,0.446,0.442,0.273,0.845
i640-024,640,204480,9,9.481,0.443,0.443,0.282,0.853
i640-025,640,204480,9,9.456,0.442,0.444,0.252,0.856
i640-031,640,1280,9,2.448,0.055,0.031,0.041,0.038
i640-032,640,1280,9,2.438,0.053,0.037,0.033,0.030
i640-033,640,1280,9,2.439,0.049,0.038,0.045,0.043
i640-034,640,1280,9,2.437,0.049,0.031,0.027,0.029
i640-035,640,1280,9,2.44,0.049,0.03,0.021,0.026
i640-041,640,40896,9,4.047,0.232,0.233,0.134,0.173
i640-042,640,40896,9,4.05,0.238,0.232,0.138,0.160
i640-043,640,40896,9,4.08,0.239,0.236,0.146,0.167
i640-044,640,40896,9,4.052,0.234,0.237,0.144,0.177
i640-045,640,40896,9,4.07,0.233,0.237,0.147,0.166
lin01,53,80,4,0.004,0.000,0.000,0.000,0.001
lin02,55,82,6,0.01,0.000,0.000,0.000,0.000
lin03,57,84,8,0.019,0.000,0.000,0.001,0.001
lin04,157,266,6,0.038,0.002,0.000,0.000,0.002
lin05,160,269,9,0.171,0.003,0.000,0.002,0.007
lin06,165,274,14,9.12,0.062,0.000,0.004,0.004
lin07,307,526,6,0.123,0.007,0.000,0.002,0.007
lin08,311,530,10,1.143,0.015,0.000,0.002,0.007
lin09,313,532,12,4.972,0.037,0.000,0.005,0.015
lin10,321,540,20,over 30s,over 30s,0.224,0.049,0.014
lin11,816,1460,10,7.388,0.089,0.005,0.012,0.043
lin12,818,1462,12,29.772,0.211,0.016,0.020,0.051
lin13,822,1466,16,over 30s,3.84,0.064,0.026,0.029
msm0580,338,541,11,2.732,0.024,0.000,0.008,0.013
msm0654,1290,2270,10,18.404,0.184,0.000,0.014,0.022
msm0709,1442,2403,16,over 30s,9.991,0.002,0.014,0.031
msm1008,402,695,11,3.925,0.031,0.000,0.014,0.006
msm1234,933,1632,13,over 30s,0.492,0.000,0.007,0.017
msm1707,278,478,11,1.907,0.016,0.000,0.002,0.004
msm1844,90,135,10,0.127,0.001,0.000,0.002,0.001
msm1931,875,1522,10,8.472,0.087,0.000,0.007,0.016
msm2000,898,1562,10,8.964,0.09,0.000,0.007,0.017
msm2326,418,723,14,over 30s,0.238,0.000,0.005,0.008
msm2705,1359,2458,13,over 30s,0.982,0.000,0.020,0.023
msm3676,957,1554,10,10.196,0.105,0.000,0.008,0.017
msm4038,237,390,11,1.444,0.012,0.000,0.004,0.004
msm4114,402,690,16,over 30s,1.261,0.000,0.004,0.008
msm4190,391,666,16,over 30s,1.362,0.000,0.009,0.006
msm4224,191,302,11,0.965,0.01,0.000,0.004,0.004
msm4414,317,476,11,2.443,0.02,0.000,0.004,0.003
msm4515,777,1358,13,over 30s,0.341,0.001,0.019,0.013
p455,100,4950,5,0.04,0.003,0.002,0.001,0.010
p456,100,4950,5,0.04,0.003,0.002,0.001,0.011
p457,100,4950,10,0.174,0.005,0.002,0.003,0.008
p458,100,4950,10,0.175,0.004,0.003,0.008,0.015
p459,100,4950,20,over 30s,16.36,0.066,0.017,0.010
p460,100,4950,20,over 30s,16.201,0.476,0.018,0.012
p463,200,19900,10,0.718,0.021,0.012,0.004,0.028
p464,200,19900,20,over 30s,over 30s,0.038,0.027,0.033
p401,100,4950,5,0.064,0.005,0.000,0.000,0.008
p402,100,4950,5,0.064,0.006,0.000,0.001,0.012
p403,100,4950,5,0.06,0.005,0.000,0.002,0.006
p404,100,4950,10,0.192,0.006,0.000,0.005,0.008
p405,100,4950,10,0.192,0.006,0.000,0.009,0.010
p406,100,4950,10,0.195,0.01,0.000,0.006,0.011
p407,100,4950,20,over 30s,17.022,0.006,0.536,0.022
p408,100,4950,20,over 30s,16.251,0.006,0.192,0.012
p619,100,180,5,0.015,0.001,0.000,0.000,0.001
p620,100,180,5,0.013,0.001,0.000,0.000,0.001
p621,100,180,5,0.015,0.001,0.000,0.000,0.001
p622,100,180,10,0.15,0.002,0.000,0.001,0.002
p623,100,180,10,0.152,0.002,0.000,0.004,0.003
p624,100,180,20,over 30s,17.121,0.000,0.006,0.002
p625,100,180,20,over 30s,16.587,0.000,0.006,0.004
p626,100,180,20,over 30s,17.028,0.000,0.011,0.002
